bookId,title,new_isbn,new_author
2767052-the-hunger-games,The Hunger Games,9862131365,Suzanne Collins
2.Harry_Potter_and_the_Order_of_the_Phoenix,Harry Potter and the Order of the Phoenix,9789771438793,J. K. Rowling
41865.Twilight,Twilight,3551581495,Stephenie Meyer
19063.The_Book_Thief,The Book Thief,9788598078175,Markus Zusak
170448.Animal_Farm,Animal Farm,9798715029577,George Orwell
30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,Book not found,Author not found
2767052-the-hunger-games,The Hunger Games,9862131365,Suzanne Collins
2.Harry_Potter_and_the_Order_of_the_Phoenix,Harry Potter and the Order of the Phoenix,9789771438793,J. K. Rowling
41865.Twilight,Twilight,3551581495,Stephenie Meyer
19063.The_Book_Thief,The Book Thief,9788598078175,Markus Zusak
170448.Animal_Farm,Animal Farm,9798715029577,George Orwell
30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,Book not found,Author not found
18405.Gone_with_the_Wind,Gone with the Wind,9788804496014,Margaret Mitchell
370493.The_Giving_Tree,The Giving Tree,0590396218,Shel Silverstein
2767052-the-hunger-games,The Hunger Games,9862131365,Suzanne Collins
2.Harry_Potter_and_the_Order_of_the_Phoenix,Harry Potter and the Order of the Phoenix,9789771438793,J. K. Rowling
41865.Twilight,Twilight,3551581495,Stephenie Meyer
19063.The_Book_Thief,The Book Thief,9788598078175,Markus Zusak
170448.Animal_Farm,Animal Farm,9798715029577,George Orwell
30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,Book not found,Author not found
18405.Gone_with_the_Wind,Gone with the Wind,9788804496014,Margaret Mitchell
370493.The_Giving_Tree,The Giving Tree,0590396218,Shel Silverstein
6185.Wuthering_Heights,Wuthering Heights,9798752243523,Emily Brontë
