0,2767052-the-hunger-games,Suzanne Collins,Suzanne Collins,"Hartford, Connecticut",41.7625 -72.67416666666666,1
1,2767052-the-hunger-games,Suzanne Collins,Suzanne Collins,"Hartford, Connecticut",41.7625 -72.67416666666666,1
2,2767052-the-hunger-games,Suzanne Collins,Suzanne Collins,"Hartford, Connecticut",41.7625 -72.67416666666666,1
3,2.Harry_Potter_and_the_Order_of_the_Phoenix,J. K. Rowling,J.K. Rowling,Yate,51.5402 -2.410989,2
4,2.Harry_Potter_and_the_Order_of_the_Phoenix,J. K. Rowling,J.K. Rowling,Yate,51.5402 -2.410989,2
5,2.Harry_Potter_and_the_Order_of_the_Phoenix,J. K. Rowling,J.K. Rowling,Yate,51.5402 -2.410989,2
6,41865.Twilight,Stephenie Meyer,Stephenie Meyer,"Hartford, Connecticut",41.7625 -72.67416666666666,1
7,41865.Twilight,Stephenie Meyer,Stephenie Meyer,"Hartford, Connecticut",41.7625 -72.67416666666666,1
8,41865.Twilight,Stephenie Meyer,Stephenie Meyer,"Hartford, Connecticut",41.7625 -72.67416666666666,1
9,19063.The_Book_Thief,Markus Zusak,Markus Zusak,"Sydney, Australia",,1
10,19063.The_Book_Thief,Markus Zusak,Markus Zusak,"Sydney, Australia",,1
11,19063.The_Book_Thief,Markus Zusak,Markus Zusak,"Sydney, Australia",,1
12,170448.Animal_Farm,George Orwell,George Orwell,Bengal Presidency,22.566 88.3464,1
13,170448.Animal_Farm,George Orwell,George Orwell,Bengal Presidency,22.566 88.3464,1
14,170448.Animal_Farm,George Orwell,George Orwell,Bengal Presidency,22.566 88.3464,1
15,30.J_R_R_Tolkien_4_Book_Boxed_Set,,J.R.R. Tolkien,,,2
16,30.J_R_R_Tolkien_4_Book_Boxed_Set,,J.R.R. Tolkien,,,2
17,30.J_R_R_Tolkien_4_Book_Boxed_Set,,J.R.R. Tolkien,,,2
18,18405.Gone_with_the_Wind,Margaret Mitchell,Margaret Mitchell,Georgia (U.S. state),33.0 -83.0,1
