0,18421,183126.Hans_Brinker_or_the_Silver_Skates,Mary Mapes Dodge,Mary Mapes Dodge,New York City,40.71277777777778 -74.00611111111111,1
1,18422,18690048-lovers-at-heart,Melissa Foster,Melissa Foster,,,2
2,18423,23121837-garrett,Maryland Geological Survey,Sawyer Bennett,,,2
3,18424,6004367-las-peque-as-virtudes,Natalia Ginzburg,Natalia Ginzburg,Palermo,38.111111111111114 13.351666666666667,1
4,18425,20763881-keep-your-friends-close,Paula Daly,Paula Daly,,,2
5,18426,18710920-the-darkling-child,Terry Brooks,Terry Brooks,"Sterling, Illinois",41.79666666666667 -89.69333333333333,1
6,18427,382680.One_False_Move,Harlan Coben,Harlan Coben,"Newark, New Jersey",40.72422 -74.172574,1
7,18428,1030717.The_Great_God_Pan,Arthur Machen,Arthur Machen,Caerleon,51.615 -2.959,1
8,18429,2260460.There_Will_Come_Soft_Rains,Robert Sheldon,Ray Bradbury,"Waukegan, Illinois",42.37027777777778 -87.8711111111111,1
9,18430,6452538-the-big-burn,,Timothy Egan,"Seattle, Washington",,1
10,18431,11627.The_Colossus_and_Other_Poems,,Sylvia Plath,"Boston, Massachusetts",,1
11,18432,32860355-alex-and-eliza,Melissa De la Cruz,Melissa de la Cruz,Manila,14.595833333333333 120.97722222222222,1
12,18433,30268522-why-not-me,Mindy Kaling,Mindy Kaling,"Cambridge, Massachusetts",42.37361111111111 -71.11055555555555,1
13,18434,32336454-a-biblioteca-noite,Alberto Manguel,Alberto Manguel,Buenos Aires,-34.60333333333333 -58.38166666666667,1
14,18435,2694064-the-toss-of-a-lemon,Padma Viswanathan,Padma Viswanathan,,,2
15,18436,254310.Washington,James Thomas Flexner,James Thomas Flexner,Manhattan,40.78333333333333 -73.96666666666667,1
16,18437,24586590-the-nature-of-the-beast,Janni Howker,Louise Penny,Toronto,43.74166666666667 -79.37333333333333,1
17,18438,8797920,,Ilya Ilf,Russian Empire,,1
18,18439,17316492-no-child-of-mine,Gwen Madoc,Susan Lewis,,,2
19,18440,19030845-batman,,Frank Miller,,,2
20,18441,121813.The_Lost_Scrolls,Michael Teitelbaum,Chris Heimerdinger,,,2
21,18442,23121084-med-kup-og-kaffelik-r,,Catharina Ingelman-Sundberg,,,2
22,18443,42701.The_Van,Roddy Doyle,Roddy Doyle,Dublin,53.35 -6.260277777777778,1
23,18444,25684046-le-notti-bianche---la-cronaca-di-pietroburgo,,Fyodor Dostoyevsky,,,2
24,18445,10891889-a-crimson-warning,Tasha Alexander,Tasha Alexander,"South Bend, Indiana",41.67638888888889 -86.25027777777778,1
25,18446,7693839-de-complete-avonturen-van-sherlock-holmes,,Arthur Conan Doyle,Edinburgh,55.95333333333333 -3.1891666666666665,1
26,18447,170226.To_Play_the_Fool,Laurie R. King,Laurie R. King,"Oakland, California",37.80444444444444 -122.27083333333333,1
27,18448,67890.The_Archetypes_and_the_Collective_Unconscious,Carl Gustav Jung PORTUGUES,C.G. Jung,,,2
28,18449,25795314-the-red-door-inn,Liz Johnson,Liz Johnson,,,2
29,18450,3858.Holy_Cow,Sarah MacDonald,Sarah Macdonald,,,2
30,18451,15811495-touch-go,David Herbert Lawrence,Lisa Gardner,,,2
31,18452,27860802-the-protector,Tamora Pierce,Jodi Ellen Malpas,"South Connellsville, Pennsylvania",39.99805555555555 -79.58611111111111,2
32,18453,20911660-the-shadow-prince,Stacey O'Neale,Bree Despain,,,2
33,18454,26002106-the-sisters-of-st-croix,Diney Costeloe,Diney Costeloe,,,2
34,18455,25164304-of-fire-and-stars,Audrey Coulthurst,Audrey Coulthurst,,,2
35,18456,23946416-the-deep,Wilkie Collins,Nick Cutter,Marylebone,51.5177 -0.147,2
36,18457,17878.The_Village_of_Stepanchikovo,Фёдор Михайлович Достоевский,Fyodor Dostoyevsky,,,2
37,18458,35356382-the-chalk-man,C. J. Tudor,C.J. Tudor,,,2
