clean_date,num_of_books
1722-03-24,1
1812-02-10,1
1857-04-01,1
1899-01-01,1
1902-04-12,1
1921-01-01,1
1921-03-09,1
1921-10-28,5
1921-10-30,1
1921-11-05,2
1921-11-06,1
1922-01-28,1
1922-03-28,1
1922-05-27,1
1922-10-28,12
1922-10-29,1
1922-10-30,5
1922-11-05,2
1922-11-06,3
1922-11-23,1
1922-11-30,1
1923-05-28,1
1923-05-30,1
1923-10-28,8
1923-10-29,3
1923-10-30,5
1923-11-05,1
1923-11-06,2
1923-12-23,1
1924-01-19,1
1924-08-22,1
1924-10-28,9
1924-10-29,1
1924-10-30,4
1924-11-06,3
1924-11-28,1
1925-01-30,1
1925-04-28,1
1925-05-14,1
1925-06-06,1
1925-07-01,1
1925-07-18,1
1925-10-28,10
1925-10-29,3
1925-10-30,6
1925-12-17,1
1926-02-28,1
1926-06-28,1
1926-10-14,2
1926-10-28,7
1926-10-29,2
1926-10-30,4
1926-11-06,4
1926-11-30,1
1927-01-01,3
1927-01-27,1
1927-06-16,1
1927-10-06,1
1927-10-15,1
1927-10-28,15
1927-10-29,2
1927-10-30,1
1927-11-05,1
1927-11-06,1
1928-03-29,1
1928-08-28,1
1928-10-11,1
1928-10-28,7
1928-10-29,3
1928-10-30,8
1928-11-06,7
1929-01-24,1
1929-02-01,1
1929-04-28,1
1929-06-07,1
1929-07-01,1
1929-08-11,1
1929-09-28,1
1929-10-06,1
1929-10-28,12
1929-10-29,4
1929-10-30,4
1929-11-05,1
1929-11-06,4
1929-11-30,1
1930-01-01,1
1930-03-01,2
1930-04-14,1
1930-04-30,1
1930-10-01,1
1930-10-16,1
1930-10-28,12
1930-10-29,5
1930-10-30,6
1930-11-01,1
1930-11-05,1
1930-11-06,4
1930-11-13,1
1931-01-14,1
1931-03-02,1
1931-03-06,1
1931-08-30,1
1931-09-01,1
1931-10-28,6
1931-10-29,2
1931-10-30,8
1931-11-05,2
1931-11-06,4
1931-12-28,1
1932-02-06,1
1932-03-12,1
1932-06-05,1
1932-09-08,1
1932-10-28,11
1932-10-29,6
1932-10-30,9
1932-11-06,4
1933-01-01,2
1933-08-28,1
1933-10-28,11
1933-10-29,5
1933-10-30,9
1933-11-06,2
1933-11-28,1
1934-01-01,1
1934-01-28,1
1934-04-28,1
1934-06-01,1
1934-09-06,1
1934-10-01,1
1934-10-05,1
1934-10-28,18
1934-10-29,3
1934-10-30,5
1934-11-06,6
1934-12-01,1
1935-01-28,1
1935-03-10,1
1935-03-30,1
1935-04-12,1
1935-08-17,1
1935-10-25,1
1935-10-28,16
1935-10-29,4
1935-10-30,9
1935-11-06,4
1935-11-28,1
1935-11-30,1
1936-01-01,1
1936-01-06,1
1936-04-09,1
1936-04-20,1
1936-04-24,1
1936-04-28,1
1936-05-15,1
1936-05-16,1
1936-06-30,1
1936-07-06,1
1936-10-28,15
1936-10-29,4
1936-10-30,3
1936-11-02,1
1936-11-05,2
1936-11-06,8
1937-04-15,1
1937-06-08,1
1937-09-21,2
1937-10-28,18
1937-10-29,7
1937-10-30,7
1937-11-06,5
1937-11-28,1
1937-12-21,1
1938-01-01,1
1938-05-28,1
1938-06-29,1
1938-06-30,1
1938-08-28,1
1938-08-30,1
1938-09-01,1
1938-09-09,1
1938-10-02,1
1938-10-28,15
1938-10-29,2
1938-10-30,5
1938-11-05,2
1938-11-06,4
1938-12-19,1
1939-01-01,2
1939-02-06,2
1939-02-28,1
1939-03-28,1
1939-04-14,1
1939-05-04,1
1939-05-30,1
1939-06-05,1
1939-06-12,1
1939-09-01,2
1939-10-28,17
1939-10-29,4
1939-10-30,4
1939-11-05,1
1939-11-06,7
1940-01-01,2
1940-01-29,1
1940-03-28,1
1940-08-01,1
1940-10-28,19
1940-10-29,4
1940-10-30,6
1940-11-05,2
1940-11-06,7
1941-01-19,1
1941-04-01,1
1941-04-19,1
1941-05-28,1
1941-06-20,1
1941-07-21,1
1941-08-24,1
1941-08-28,1
1941-09-28,1
1941-10-28,5
1941-10-29,3
1941-10-30,6
1941-11-05,1
1941-11-06,10
1941-11-30,1
1942-01-01,2
1942-02-28,1
1942-05-28,1
1942-05-29,1
1942-06-05,1
1942-07-05,1
1942-08-17,1
1942-09-13,1
1942-10-28,15
1942-10-29,5
1942-10-30,4
1942-11-05,2
1942-11-06,1
1943-02-04,1
1943-02-20,1
1943-03-07,1
1943-04-15,2
1943-06-30,1
1943-08-18,1
1943-10-16,2
1943-10-28,17
1943-10-29,2
1943-10-30,5
1943-11-06,4
1943-12-17,1
1943-12-19,2
1943-12-29,1
1944-01-01,1
1944-02-04,1
1944-05-28,1
1944-06-01,1
1944-06-30,1
1944-07-31,1
1944-08-28,2
1944-09-18,1
1944-10-28,12
1944-10-29,4
1944-10-30,6
1944-11-05,1
1944-11-06,6
1945-01-01,1
1945-01-03,1
1945-01-28,1
1945-01-29,1
1945-02-01,1
1945-02-28,1
1945-08-17,1
1945-09-28,1
1945-10-01,1
1945-10-03,1
1945-10-28,19
1945-10-29,6
1945-10-30,5
1945-11-05,1
1945-11-06,3
1945-12-01,1
1945-12-28,1
1946-01-01,1
1946-01-03,1
1946-10-28,15
1946-10-29,6
1946-10-30,9
1946-11-05,2
1946-11-06,8
1946-11-21,1
1946-12-17,1
1947-01-01,3
1947-02-28,1
1947-04-28,1
1947-06-01,1
1947-06-29,1
1947-09-03,1
1947-10-01,1
1947-10-16,1
1947-10-28,16
1947-10-29,6
1947-10-30,7
1947-11-05,1
1947-11-06,4
1947-12-28,2
1948-01-01,1
1948-01-10,1
1948-01-21,1
1948-02-01,1
1948-02-21,1
1948-02-28,1
1948-04-30,1
1948-06-26,1
1948-07-25,1
1948-08-30,1
1948-09-17,1
1948-10-28,23
1948-10-29,3
1948-10-30,4
1948-11-06,3
1948-11-21,1
1949-01-01,1
1949-02-28,1
1949-06-05,1
1949-06-08,1
1949-10-09,1
1949-10-14,1
1949-10-28,21
1949-10-29,3
1949-10-30,10
1949-11-05,2
1949-11-06,4
1949-11-14,1
1950-01-01,3
1950-02-28,1
1950-03-16,1
1950-05-06,1
1950-05-28,1
1950-06-27,1
1950-06-28,1
1950-09-23,1
1950-10-28,20
1950-10-29,7
1950-10-30,17
1950-11-05,2
1950-11-06,10
1950-12-05,1
1951-01-01,1
1951-01-30,1
1951-02-28,1
1951-03-05,1
1951-03-19,1
1951-03-28,1
1951-04-26,1
1951-06-15,1
1951-07-16,1
1951-10-05,1
1951-10-15,1
1951-10-18,1
1951-10-28,14
1951-10-29,4
1951-10-30,10
1951-11-05,3
1951-11-06,7
1951-12-01,2
1952-02-06,1
1952-02-29,1
1952-03-13,1
1952-06-29,1
1952-09-01,1
1952-09-15,1
1952-10-15,1
1952-10-28,18
1952-10-29,4
1952-10-30,4
1952-11-05,2
1952-11-06,6
1952-12-01,1
